hostname,serial_number,oob_ip,oob_gw,inband_ip,inband_gw,node_id,device_type,pod_id,role,SITE
spine-01-101,SNxxxxxxx,10.243.68.101,10.243.68.254,10.243.69.101,10.243.69.254,101.0,spine,1.0,spine,POD1
spine-01-102,SNxxxxxxx,10.243.68.102,10.243.68.254,10.243.69.102,10.243.69.254,102.0,spine,1.0,spine,POD1
leaf-01-201,SNxxxxxxx,10.243.68.201,10.243.68.254,10.243.69.201,10.243.69.254,201.0,leaf,1.0,leaf,POD1
leaf-01-202,SNxxxxxxx,10.243.68.202,10.243.68.254,10.243.69.202,10.243.69.254,202.0,leaf,1.0,leaf,POD1
leaf-01-203,SNxxxxxxx,10.243.68.203,10.243.68.254,10.243.69.203,10.243.69.254,203.0,leaf,1.0,leaf,POD1
leaf-01-204,SNxxxxxxx,10.243.68.204,10.243.68.254,10.243.69.204,10.243.69.254,204.0,leaf,1.0,leaf,POD1
leaf-01-205,SNxxxxxxx,10.243.68.205,10.243.68.254,10.243.69.205,10.243.69.254,205.0,leaf,1.0,leaf,POD1
leaf-01-206,SNxxxxxxx,10.243.68.206,10.243.68.254,10.243.69.206,10.243.69.254,206.0,leaf,1.0,leaf,POD1
leaf-01-207,SNxxxxxxx,10.243.68.207,10.243.68.254,10.243.69.207,10.243.69.254,207.0,leaf,1.0,leaf,POD1
leaf-01-208,SNxxxxxxx,10.243.68.208,10.243.68.254,10.243.69.208,10.243.69.254,208.0,leaf,1.0,leaf,POD1
leaf-01-209,SNxxxxxxx,10.243.68.209,10.243.68.254,10.243.69.209,10.243.69.254,209.0,leaf,1.0,leaf,POD1
leaf-01-210,SNxxxxxxx,10.243.68.210,10.243.68.254,10.243.69.210,10.243.69.254,210.0,leaf,1.0,leaf,POD1
leaf-01-211,SNxxxxxxx,10.243.68.211,10.243.68.254,10.243.69.211,10.243.69.254,211.0,leaf,1.0,leaf,POD1
leaf-01-212,SNxxxxxxx,10.243.68.212,10.243.68.254,10.243.69.212,10.243.69.254,212.0,leaf,1.0,leaf,POD1
leaf-01-213,SNxxxxxxx,10.243.68.213,10.243.68.254,10.243.69.213,10.243.69.254,213.0,leaf,1.0,leaf,POD1
leaf-01-214,SNxxxxxxx,10.243.68.214,10.243.68.254,10.243.69.214,10.243.69.254,214.0,leaf,1.0,leaf,POD1
leaf-01-215,SNxxxxxxx,10.243.68.215,10.243.68.254,10.243.69.215,10.243.69.254,215.0,leaf,1.0,leaf,POD1
leaf-01-216,SNxxxxxxx,10.243.68.216,10.243.68.254,10.243.69.216,10.243.69.254,216.0,leaf,1.0,leaf,POD1
leaf-01-217,SNxxxxxxx,10.243.68.217,10.243.68.254,10.243.69.217,10.243.69.254,217.0,leaf,1.0,leaf,POD1
leaf-01-218,SNxxxxxxx,10.243.68.218,10.243.68.254,10.243.69.218,10.243.69.254,218.0,leaf,1.0,leaf,POD1
leaf-01-219,SNxxxxxxx,10.243.68.219,10.243.68.254,10.243.69.219,10.243.69.254,219.0,leaf,1.0,leaf,POD1
leaf-01-220,SNxxxxxxx,10.243.68.220,10.243.68.254,10.243.69.220,10.243.69.254,220.0,leaf,1.0,leaf,POD1
leaf-01-221,SNxxxxxxx,10.243.68.221,10.243.68.254,10.243.69.221,10.243.69.254,221.0,leaf,1.0,leaf,POD1
leaf-01-222,SNxxxxxxx,10.243.68.222,10.243.68.254,10.243.69.222,10.243.69.254,222.0,leaf,1.0,leaf,POD1
leaf-01-223,SNxxxxxxx,10.243.68.223,10.243.68.254,10.243.69.223,10.243.69.254,223.0,leaf,1.0,leaf,POD1
leaf-01-224,SNxxxxxxx,10.243.68.224,10.243.68.254,10.243.69.224,10.243.69.254,224.0,leaf,1.0,leaf,POD1
leaf-01-225,SNxxxxxxx,10.243.68.225,10.243.68.254,10.243.69.225,10.243.69.254,225.0,leaf,1.0,leaf,POD1
leaf-01-226,SNxxxxxxx,10.243.68.226,10.243.68.254,10.243.69.226,10.243.69.254,226.0,leaf,1.0,leaf,POD1
leaf-01-227,SNxxxxxxx,10.243.68.227,10.243.68.254,10.243.69.227,10.243.69.254,227.0,leaf,1.0,leaf,POD1
leaf-01-228,SNxxxxxxx,10.243.68.228,10.243.68.254,10.243.69.228,10.243.69.254,228.0,leaf,1.0,leaf,POD1
leaf-01-229,SNxxxxxxx,10.243.68.229,10.243.68.254,10.243.69.229,10.243.69.254,229.0,leaf,1.0,leaf,POD1
leaf-01-230,SNxxxxxxx,10.243.68.230,10.243.68.254,10.243.69.230,10.243.69.254,230.0,leaf,1.0,leaf,POD1
leaf-01-231,SNxxxxxxx,10.243.68.231,10.243.68.254,10.243.69.231,10.243.69.254,231.0,leaf,1.0,leaf,POD1
leaf-01-232,SNxxxxxxx,10.243.68.232,10.243.68.254,10.243.69.232,10.243.69.254,232.0,leaf,1.0,leaf,POD1
leaf-01-233,SNxxxxxxx,10.243.68.233,10.243.68.254,10.243.69.233,10.243.69.254,233.0,leaf,1.0,leaf,POD1
leaf-01-234,SNxxxxxxx,10.243.68.234,10.243.68.254,10.243.69.234,10.243.69.254,234.0,leaf,1.0,leaf,POD1
leaf-01-235,SNxxxxxxx,10.243.68.235,10.243.68.254,10.243.69.235,10.243.69.254,235.0,leaf,1.0,leaf,POD1
leaf-01-236,SNxxxxxxx,10.243.68.236,10.243.68.254,10.243.69.236,10.243.69.254,236.0,leaf,1.0,leaf,POD1
leaf-01-237,SNxxxxxxx,10.243.68.237,10.243.68.254,10.243.69.237,10.243.69.254,237.0,leaf,1.0,leaf,POD1
leaf-01-238,SNxxxxxxx,10.243.68.238,10.243.68.254,10.243.69.238,10.243.69.254,238.0,leaf,1.0,leaf,POD1
leaf-01-239,SNxxxxxxx,10.243.68.239,10.243.68.254,10.243.69.239,10.243.69.254,239.0,leaf,1.0,leaf,POD1
leaf-01-240,SNxxxxxxx,10.243.68.240,10.243.68.254,10.243.69.240,10.243.69.254,240.0,leaf,1.0,leaf,POD1
leaf-01-241,SNxxxxxxx,10.243.68.241,10.243.68.254,10.243.69.241,10.243.69.254,241.0,leaf,1.0,leaf,POD1
leaf-01-242,SNxxxxxxx,10.243.68.242,10.243.68.254,10.243.69.242,10.243.69.254,242.0,leaf,1.0,leaf,POD1
leaf-01-243,SNxxxxxxx,10.243.68.243,10.243.68.254,10.243.69.243,10.243.69.254,243.0,leaf,1.0,leaf,POD1
leaf-01-244,SNxxxxxxx,10.243.68.244,10.243.68.254,10.243.69.244,10.243.69.254,244.0,leaf,1.0,leaf,POD1
leaf-01-245,SNxxxxxxx,10.243.68.245,10.243.68.254,10.243.69.245,10.243.69.254,245.0,leaf,1.0,leaf,POD1
leaf-01-246,SNxxxxxxx,10.243.68.246,10.243.68.254,10.243.69.246,10.243.69.254,246.0,leaf,1.0,leaf,POD1
leaf-01-247,SNxxxxxxx,10.243.68.247,10.243.68.254,10.243.69.247,10.243.69.254,247.0,leaf,1.0,leaf,POD1
leaf-01-248,SNxxxxxxx,10.243.68.248,10.243.68.254,10.243.69.248,10.243.69.254,248.0,leaf,1.0,leaf,POD1
spine-02-107,SNxxxxxxx,10.243.68.110,10.243.68.254,,10.243.69.254,107.0,spine,2.0,spine,POD6
spine-02-108,SNxxxxxxx,10.243.68.111,10.243.68.254,,10.243.69.254,108.0,spine,2.0,spine,POD6
leaf-02-501,SNxxxxxxx,10.243.68.112,10.243.68.254,,10.243.69.254,501.0,leaf,2.0,leaf,POD6
leaf-02-502,SNxxxxxxx,10.243.68.113,10.243.68.254,,10.243.69.254,502.0,leaf,2.0,leaf,POD6
leaf-02-503,SNxxxxxxx,,,,,503.0,leaf,2.0,leaf,POD6
leaf-02-504,SNxxxxxxx,,,,,504.0,leaf,2.0,leaf,POD6
spine-03-113,SNxxxxxxx,,,10243124249.0,10243124254.0,113.0,spine,3.0,spine,POD3
spine-03-114,SNxxxxxxx,,,10243124250.0,10243124254.0,114.0,spine,3.0,spine,POD3
leaf-03-801,SNxxxxxxx,,,10243124105.0,10243124254.0,801.0,leaf,3.0,leaf,POD3
leaf-03-802,SNxxxxxxx,,,10243124106.0,10243124254.0,802.0,leaf,3.0,leaf,POD3
spine-04-119,SNxxxxxxx,,,10.243.66.97,10.243.66.126,119.0,spine,4.0,spine,POD4
spine-04-120,SNxxxxxxx,,,10.243.66.98,10.243.66.126,120.0,spine,4.0,spine,POD4
leaf-04-1101,SNxxxxxxx,,,10.243.66.107,10.243.66.126,1101.0,leaf,4.0,leaf,POD4
leaf-04-1102,SNxxxxxxx,,,10.243.66.108,10.243.66.126,1102.0,leaf,4.0,leaf,POD4
spine-05-125,SNxxxxxxx,,,10.243.65.97,10.243.65.126,125.0,spine,5.0,spine,POD2
spine-05-126,SNxxxxxxx,,,10.243.65.98,10.243.65.126,126.0,spine,5.0,spine,POD2
leaf-05-1401,SNxxxxxxx,,,10.243.65.107,10.243.65.126,1401.0,leaf,5.0,leaf,POD2
leaf-05-1402,SNxxxxxxx,,,10.243.65.108,10.243.65.126,1402.0,leaf,5.0,leaf,POD2
